distance,rssi,snr
0,-32.333333333333336,13.799999999999999
3,-33.666666666666664,13.533333333333333
6,-53.333333333333336,13.800000000000002
9,-54.666666666666664,13.800000000000002
12,-69.66666666666667,13.666666666666666
15,-74.33333333333333,11.533333333333333
18,-82.33333333333333,11.4
21,-79.66666666666667,11.6
24,-81.66666666666667,12.733333333333334
27,-81.66666666666667,11.266666666666666
30,-91.66666666666667,7.333333333333333
33,-86.33333333333333,9.0
36,-82.66666666666667,7.366666666666667
39,-81.66666666666667,11.666666666666666
42,-86.66666666666667,9.833333333333334
45,-90.0,9.733333333333333
48,-91.0,5.966666666666666
51,-88.0,11.366666666666667
54,-89.66666666666667,9.633333333333333
57,-86.66666666666667,11.6
60,-85.33333333333333,9.933333333333334
63,-87.66666666666667,9.6
66,-86.33333333333333,10.933333333333332
69,-89.0,9.5
72,-89.66666666666667,9.033333333333333
75,-86.66666666666667,9.8
78,-83.33333333333333,8.6
81,-89.66666666666667,6.733333333333333
84,-90.33333333333333,7.933333333333334
87,-90.0,8.733333333333333
90,-88.0,9.4
93,-92.33333333333333,6.266666666666667
96,-92.33333333333333,6.933333333333334
99,-95.0,3.8333333333333335
102,-96.33333333333333,4.833333333333333
105,-97.0,1.1666666666666667
108,-101.66666666666667,-6.833333333333333
111,-93.33333333333333,7.266666666666667
114,-92.33333333333333,6.3999999999999995
117,-95.33333333333333,-0.6
120,-99.33333333333333,-4.333333333333333
123,-97.33333333333333,1.0666666666666667
126,-100.0,-3.6999999999999997
129,-91.66666666666667,4.166666666666667
132,-100.0,-2.6
135,-95.0,5.3999999999999995
138,-95.66666666666667,4.466666666666666
141,-99.66666666666667,-0.2666666666666666
144,-91.0,2.9333333333333336
147,-92.66666666666667,7.266666666666667
150,-89.33333333333333,8.6
153,-87.66666666666667,9.799999999999999
156,-89.0,8.866666666666667
159,-90.0,5.3999999999999995
162,-90.66666666666667,8.6
165,-91.66666666666667,6.6000000000000005
168,-92.33333333333333,7.8
171,-90.66666666666667,7.466666666666668
174,-90.66666666666667,3.733333333333333
177,-87.66666666666667,5.166666666666667
180,-87.66666666666667,8.833333333333334
183,-92.66666666666667,6.599999999999999
186,-89.33333333333333,8.733333333333333
189,-95.66666666666667,3.3333333333333335
192,-99.0,0.3333333333333333
195,-98.0,4.3
198,-101.33333333333333,-4.166666666666667
201,-102.66666666666667,-5.3999999999999995
